Sample	Area	Household	Season	Individual	Type	Room	Region	Footage	No_Occupant	Under_18	Cleaning_Week	Cooking_Week	Pets	Floor	Latitude	Longitude	Windows_Winter	Windows_Spring	RelativeHumidity_AM_Winter	RelativeHumidity_PM_Winter	Temp_AM_Winter	Temp_PM_Winter	RelativeHumidity_AM_Spring	RelativeHumidity_PM_Spring	Temp_AM_Spring	Temp_PM_Spring	SurfaceTouchFrequency	SurfaceDeposition
ADMa2SWCWINT	Shower Curtain	Admiralty A	Winter	NA	Surface	Bathroom	Island	460	1	0	2	3	No Pet	Wood	22.275838	114.169094	Closed	Closed	63.9	60.1	20.4	20.7	76.9	93.5	24.1	24.6	High	Low
ADMa2TFBWINT	Toilet Flush Button	Admiralty A	Winter	NA	Surface	Bathroom	Island	460	1	0	2	3	No Pet	Wood	22.275838	114.169094	Closed	Closed	63.9	60.1	20.4	20.7	76.9	93.5	24.1	24.6	High	Low
ADMa3zFOHWINT	Forehead	Admiralty A	Winter	Admiralty A z	Skin	NA	Island	460	1	0	2	3	No Pet	Wood	22.275838	114.169094	Closed	Closed	63.9	60.1	20.4	20.7	76.9	93.5	24.1	24.6	NA	NA
ADMa3zLFWINT	Left Forearm	Admiralty A	Winter	Admiralty A z	Skin	NA	Island	460	1	0	2	3	No Pet	Wood	22.275838	114.169094	Closed	Closed	63.9	60.1	20.4	20.7	76.9	93.5	24.1	24.6	NA	NA
ADMa3ZLPWIN	Left Palm	Admiralty A	Winter	Admiralty A z	Skin	NA	Island	460	1	0	2	3	No Pet	Wood	22.275838	114.169094	Closed	Closed	63.9	60.1	20.4	20.7	76.9	93.5	24.1	24.6	NA	NA
ADMa3zRFWINT	Right Forearm	Admiralty A	Winter	Admiralty A z	Skin	NA	Island	460	1	0	2	3	No Pet	Wood	22.275838	114.169094	Closed	Closed	63.9	60.1	20.4	20.7	76.9	93.5	24.1	24.6	NA	NA
ADMa3zRPWINT	Right Palm	Admiralty A	Winter	Admiralty A z	Skin	NA	Island	460	1	0	2	3	No Pet	Wood	22.275838	114.169094	Closed	Closed	63.9	60.1	20.4	20.7	76.9	93.5	24.1	24.6	NA	NA
ADMb1BRWINT	Bedroom	Admiralty B	Winter	NA	Air	Bedroom	Island	230	1	0	1	0	No Pet	Wood	22.276015	114.167841	Closed	Closed	50.7	53.4	18.5	19.2	84	80.2	23.3	22.9	NA	NA
ADMb1KCWINT	Kitchen	Admiralty B	Winter	NA	Air	Kitchen	Island	230	1	0	1	0	No Pet	Wood	22.276015	114.167841	Closed	Closed	50.7	53.4	18.5	19.2	84	80.2	23.3	22.9	NA	NA
ADMb1LRWINT	Living Room	Admiralty B	Winter	NA	Air	Living Room	Island	230	1	0	1	0	No Pet	Wood	22.276015	114.167841	Closed	Closed	50.7	53.4	18.5	19.2	84	80.2	23.3	22.9	NA	NA
ADMb1TLWINT	Toilet	Admiralty B	Winter	NA	Air	Bathroom	Island	230	1	0	1	0	No Pet	Wood	22.276015	114.167841	Closed	Closed	50.7	53.4	18.5	19.2	84	80.2	23.3	22.9	NA	NA
ADMb2BHBWINT	Bed Headboard	Admiralty B	Winter	NA	Surface	Bedroom	Island	230	1	0	1	0	No Pet	Wood	22.276015	114.167841	Closed	Closed	50.7	53.4	18.5	19.2	84	80.2	23.3	22.9	High	Low
ADMb2BLKWINT	Blanket	Admiralty B	Winter	NA	Surface	Bedroom	Island	230	1	0	1	0	No Pet	Wood	22.276015	114.167841	Closed	Closed	50.7	53.4	18.5	19.2	84	80.2	23.3	22.9	High	High
ADMb2FDSWINT	Fridge Door Seal	Admiralty B	Winter	NA	Surface	Kitchen	Island	230	1	0	1	0	No Pet	Wood	22.276015	114.167841	Closed	Closed	50.7	53.4	18.5	19.2	84	80.2	23.3	22.9	Low	Low
ADMb2KVTWINT	Kitchen Ventilator	Admiralty B	Winter	NA	Surface	Kitchen	Island	230	1	0	1	0	No Pet	Wood	22.276015	114.167841	Closed	Closed	50.7	53.4	18.5	19.2	84	80.2	23.3	22.9	Low	High
ADMb2RMCWINT	Remote Control	Admiralty B	Winter	NA	Surface	Living Room	Island	230	1	0	1	0	No Pet	Wood	22.276015	114.167841	Closed	Closed	50.7	53.4	18.5	19.2	84	80.2	23.3	22.9	High	Low
ADMb2SCRWINT	TV Screen	Admiralty B	Winter	NA	Surface	Living Room	Island	230	1	0	1	0	No Pet	Wood	22.276015	114.167841	Closed	Closed	50.7	53.4	18.5	19.2	84	80.2	23.3	22.9	Low	High
ADMb2SWCWINT	Shower Curtain	Admiralty B	Winter	NA	Surface	Bathroom	Island	230	1	0	1	0	No Pet	Wood	22.276015	114.167841	Closed	Closed	50.7	53.4	18.5	19.2	84	80.2	23.3	22.9	High	Low
ADMb2TFBWINT	Toilet Flush Button	Admiralty B	Winter	NA	Surface	Bathroom	Island	230	1	0	1	0	No Pet	Wood	22.276015	114.167841	Closed	Closed	50.7	53.4	18.5	19.2	84	80.2	23.3	22.9	High	Low
FH1BRWINT	Bedroom	Fortress Hill	Winter	NA	Air	Bedroom	Island	1200	2	0	14	18	No Pet	Wood	22.284937	114.19658	Open	Open	64.7	63.2	19.2	20	79.8	77.9	24.6	23.4	NA	NA
FH1KCWINT	Kitchen	Fortress Hill	Winter	NA	Air	Kitchen	Island	1200	2	0	14	18	No Pet	Wood	22.284937	114.19658	Open	Open	64.7	63.2	19.2	20	79.8	77.9	24.6	23.4	NA	NA
FH1LRWINT	Living Room	Fortress Hill	Winter	NA	Air	Living Room	Island	1200	2	0	14	18	No Pet	Wood	22.284937	114.19658	Open	Open	64.7	63.2	19.2	20	79.8	77.9	24.6	23.4	NA	NA
FH1TLWINT	Toilet	Fortress Hill	Winter	NA	Air	Bathroom	Island	1200	2	0	14	18	No Pet	Wood	22.284937	114.19658	Open	Open	64.7	63.2	19.2	20	79.8	77.9	24.6	23.4	NA	NA
FH2BHBWINT	Bed Headboard	Fortress Hill	Winter	NA	Surface	Bedroom	Island	1200	2	0	14	18	No Pet	Wood	22.284937	114.19658	Open	Open	64.7	63.2	19.2	20	79.8	77.9	24.6	23.4	High	Low
FH2BLKWINT	Blanket	Fortress Hill	Winter	NA	Surface	Bedroom	Island	1200	2	0	14	18	No Pet	Wood	22.284937	114.19658	Open	Open	64.7	63.2	19.2	20	79.8	77.9	24.6	23.4	High	High
FH2FDSWINT	Fridge Door Seal	Fortress Hill	Winter	NA	Surface	Kitchen	Island	1200	2	0	14	18	No Pet	Wood	22.284937	114.19658	Open	Open	64.7	63.2	19.2	20	79.8	77.9	24.6	23.4	Low	Low
FH2KVTWINT	Kitchen Ventilator	Fortress Hill	Winter	NA	Surface	Kitchen	Island	1200	2	0	14	18	No Pet	Wood	22.284937	114.19658	Open	Open	64.7	63.2	19.2	20	79.8	77.9	24.6	23.4	Low	High
FH2RMCWINT	Remote Control	Fortress Hill	Winter	NA	Surface	Living Room	Island	1200	2	0	14	18	No Pet	Wood	22.284937	114.19658	Open	Open	64.7	63.2	19.2	20	79.8	77.9	24.6	23.4	High	Low
FH2SCRWINT	TV Screen	Fortress Hill	Winter	NA	Surface	Living Room	Island	1200	2	0	14	18	No Pet	Wood	22.284937	114.19658	Open	Open	64.7	63.2	19.2	20	79.8	77.9	24.6	23.4	Low	High
FH2SWCWINT	Shower Curtain	Fortress Hill	Winter	NA	Surface	Bathroom	Island	1200	2	0	14	18	No Pet	Wood	22.284937	114.19658	Open	Open	64.7	63.2	19.2	20	79.8	77.9	24.6	23.4	High	Low
FH2TFBWINT	Toilet Flush Button	Fortress Hill	Winter	NA	Surface	Bathroom	Island	1200	2	0	14	18	No Pet	Wood	22.284937	114.19658	Open	Open	64.7	63.2	19.2	20	79.8	77.9	24.6	23.4	High	Low
FH3YFOHWINT	Forehead	Fortress Hill	Winter	Fortress Hill y	Skin	NA	Island	1200	2	0	14	18	No Pet	Wood	22.284937	114.19658	Open	Open	64.7	63.2	19.2	20	79.8	77.9	24.6	23.4	NA	NA
FH3YLFWINT	Left Forearm	Fortress Hill	Winter	Fortress Hill y	Skin	NA	Island	1200	2	0	14	18	No Pet	Wood	22.284937	114.19658	Open	Open	64.7	63.2	19.2	20	79.8	77.9	24.6	23.4	NA	NA
FH3YLPWINT	Left Palm	Fortress Hill	Winter	Fortress Hill y	Skin	NA	Island	1200	2	0	14	18	No Pet	Wood	22.284937	114.19658	Open	Open	64.7	63.2	19.2	20	79.8	77.9	24.6	23.4	NA	NA
FH3YRFWINT	Right Forearm	Fortress Hill	Winter	Fortress Hill y	Skin	NA	Island	1200	2	0	14	18	No Pet	Wood	22.284937	114.19658	Open	Open	64.7	63.2	19.2	20	79.8	77.9	24.6	23.4	NA	NA
FH3YRPWINT	Right Palm	Fortress Hill	Winter	Fortress Hill y	Skin	NA	Island	1200	2	0	14	18	No Pet	Wood	22.284937	114.19658	Open	Open	64.7	63.2	19.2	20	79.8	77.9	24.6	23.4	NA	NA
FH3ZFOHWINT	Forehead	Fortress Hill	Winter	Fortress Hill z	Skin	NA	Island	1200	2	0	14	18	No Pet	Wood	22.284937	114.19658	Open	Open	64.7	63.2	19.2	20	79.8	77.9	24.6	23.4	NA	NA
FH3ZLFWINT	Left Forearm	Fortress Hill	Winter	Fortress Hill z	Skin	NA	Island	1200	2	0	14	18	No Pet	Wood	22.284937	114.19658	Open	Open	64.7	63.2	19.2	20	79.8	77.9	24.6	23.4	NA	NA
FH3ZLPWINT	Left Palm	Fortress Hill	Winter	Fortress Hill z	Skin	NA	Island	1200	2	0	14	18	No Pet	Wood	22.284937	114.19658	Open	Open	64.7	63.2	19.2	20	79.8	77.9	24.6	23.4	NA	NA
FH3ZRFWINT	Right Forearm	Fortress Hill	Winter	Fortress Hill z	Skin	NA	Island	1200	2	0	14	18	No Pet	Wood	22.284937	114.19658	Open	Open	64.7	63.2	19.2	20	79.8	77.9	24.6	23.4	NA	NA
FH3ZRPWINT	Right Palm	Fortress Hill	Winter	Fortress Hill z	Skin	NA	Island	1200	2	0	14	18	No Pet	Wood	22.284937	114.19658	Open	Open	64.7	63.2	19.2	20	79.8	77.9	24.6	23.4	NA	NA
FT1BRWINT	Bedroom	Fo Tan	Winter	NA	Air	Bedroom	New Territories	1200	1	0	7	8	No Pet	Wood	22.396007	114.199684	Closed	Open	39.8	28.6	20.3	19.4	78	65.3	25.5	26.7	NA	NA
FT1KCWINT	Kitchen	Fo Tan	Winter	NA	Air	Kitchen	New Territories	1200	1	0	7	8	No Pet	Wood	22.396007	114.199684	Closed	Open	39.8	28.6	20.3	19.4	78	65.3	25.5	26.7	NA	NA
FT1LRWINT	Living Room	Fo Tan	Winter	NA	Air	Living Room	New Territories	1200	1	0	7	8	No Pet	Wood	22.396007	114.199684	Closed	Open	39.8	28.6	20.3	19.4	78	65.3	25.5	26.7	NA	NA
FT1TLWINT	Toilet	Fo Tan	Winter	NA	Air	Bathroom	New Territories	1200	1	0	7	8	No Pet	Wood	22.396007	114.199684	Closed	Open	39.8	28.6	20.3	19.4	78	65.3	25.5	26.7	NA	NA
FT2BHBWINT	Bed Headboard	Fo Tan	Winter	NA	Surface	Bedroom	New Territories	1200	1	0	7	8	No Pet	Wood	22.396007	114.199684	Closed	Open	39.8	28.6	20.3	19.4	78	65.3	25.5	26.7	High	Low
FT2BLKWINT	Blanket	Fo Tan	Winter	NA	Surface	Bedroom	New Territories	1200	1	0	7	8	No Pet	Wood	22.396007	114.199684	Closed	Open	39.8	28.6	20.3	19.4	78	65.3	25.5	26.7	High	High
FT2FDSWINT	Fridge Door Seal	Fo Tan	Winter	NA	Surface	Kitchen	New Territories	1200	1	0	7	8	No Pet	Wood	22.396007	114.199684	Closed	Open	39.8	28.6	20.3	19.4	78	65.3	25.5	26.7	Low	Low
FT2KVTWINT	Kitchen Ventilator	Fo Tan	Winter	NA	Surface	Kitchen	New Territories	1200	1	0	7	8	No Pet	Wood	22.396007	114.199684	Closed	Open	39.8	28.6	20.3	19.4	78	65.3	25.5	26.7	Low	High
FT2RMCWINT	Remote Control	Fo Tan	Winter	NA	Surface	Living Room	New Territories	1200	1	0	7	8	No Pet	Wood	22.396007	114.199684	Closed	Open	39.8	28.6	20.3	19.4	78	65.3	25.5	26.7	High	Low
FT2SCRWINT	TV Screen	Fo Tan	Winter	NA	Surface	Living Room	New Territories	1200	1	0	7	8	No Pet	Wood	22.396007	114.199684	Closed	Open	39.8	28.6	20.3	19.4	78	65.3	25.5	26.7	Low	High
FT2SWCWINT	Shower Curtain	Fo Tan	Winter	NA	Surface	Bathroom	New Territories	1200	1	0	7	8	No Pet	Wood	22.396007	114.199684	Closed	Open	39.8	28.6	20.3	19.4	78	65.3	25.5	26.7	High	Low
FT2TFBWINT	Toilet Flush Button	Fo Tan	Winter	NA	Surface	Bathroom	New Territories	1200	1	0	7	8	No Pet	Wood	22.396007	114.199684	Closed	Open	39.8	28.6	20.3	19.4	78	65.3	25.5	26.7	High	Low
FT3zFOHWINT	Forehead	Fo Tan	Winter	Fo Tan z	Skin	NA	New Territories	1200	1	0	7	8	No Pet	Wood	22.396007	114.199684	Closed	Open	39.8	28.6	20.3	19.4	78	65.3	25.5	26.7	NA	NA
FT3zLFWINT	Left Forearm	Fo Tan	Winter	Fo Tan z	Skin	NA	New Territories	1200	1	0	7	8	No Pet	Wood	22.396007	114.199684	Closed	Open	39.8	28.6	20.3	19.4	78	65.3	25.5	26.7	NA	NA
FT3zLPWINT	Left Palm	Fo Tan	Winter	Fo Tan z	Skin	NA	New Territories	1200	1	0	7	8	No Pet	Wood	22.396007	114.199684	Closed	Open	39.8	28.6	20.3	19.4	78	65.3	25.5	26.7	NA	NA
FT3zRFWINT	Right Forearm	Fo Tan	Winter	Fo Tan z	Skin	NA	New Territories	1200	1	0	7	8	No Pet	Wood	22.396007	114.199684	Closed	Open	39.8	28.6	20.3	19.4	78	65.3	25.5	26.7	NA	NA
FT3zRPWINT	Right Palm	Fo Tan	Winter	Fo Tan z	Skin	NA	New Territories	1200	1	0	7	8	No Pet	Wood	22.396007	114.199684	Closed	Open	39.8	28.6	20.3	19.4	78	65.3	25.5	26.7	NA	NA
HFC1BRWINT	Bedroom	Heng Fa Chuen	Winter	NA	Air	Bedroom	Island	1000	1	0	1	4	No Pet	Tile	22.278597	114.240731	Open	Closed	62.7	70.2	20.1	20.3	76.3	77.7	23.7	24.3	NA	NA
HFC1KCWINT	Kitchen	Heng Fa Chuen	Winter	NA	Air	Kitchen	Island	1000	1	0	1	4	No Pet	Tile	22.278597	114.240731	Open	Closed	62.7	70.2	20.1	20.3	76.3	77.7	23.7	24.3	NA	NA
HFC1LRWINT	Living Room	Heng Fa Chuen	Winter	NA	Air	Living Room	Island	1000	1	0	1	4	No Pet	Tile	22.278597	114.240731	Open	Closed	62.7	70.2	20.1	20.3	76.3	77.7	23.7	24.3	NA	NA
HFC1TLWINT	Toilet	Heng Fa Chuen	Winter	NA	Air	Bathroom	Island	1000	1	0	1	4	No Pet	Tile	22.278597	114.240731	Open	Closed	62.7	70.2	20.1	20.3	76.3	77.7	23.7	24.3	NA	NA
HFC2BHBWINT	Bed Headboard	Heng Fa Chuen	Winter	NA	Surface	Bedroom	Island	1000	1	0	1	4	No Pet	Tile	22.278597	114.240731	Open	Closed	62.7	70.2	20.1	20.3	76.3	77.7	23.7	24.3	High	Low
HFC2BLKWINT	Blanket	Heng Fa Chuen	Winter	NA	Surface	Bedroom	Island	1000	1	0	1	4	No Pet	Tile	22.278597	114.240731	Open	Closed	62.7	70.2	20.1	20.3	76.3	77.7	23.7	24.3	High	High
HFC2FDSWINT	Fridge Door Seal	Heng Fa Chuen	Winter	NA	Surface	Kitchen	Island	1000	1	0	1	4	No Pet	Tile	22.278597	114.240731	Open	Closed	62.7	70.2	20.1	20.3	76.3	77.7	23.7	24.3	Low	Low
HFC2KVTWINT	Kitchen Ventilator	Heng Fa Chuen	Winter	NA	Surface	Kitchen	Island	1000	1	0	1	4	No Pet	Tile	22.278597	114.240731	Open	Closed	62.7	70.2	20.1	20.3	76.3	77.7	23.7	24.3	Low	High
HFC2RMCWINT	Remote Control	Heng Fa Chuen	Winter	NA	Surface	Living Room	Island	1000	1	0	1	4	No Pet	Tile	22.278597	114.240731	Open	Closed	62.7	70.2	20.1	20.3	76.3	77.7	23.7	24.3	High	Low
HFC2SCRWINT	TV Screen	Heng Fa Chuen	Winter	NA	Surface	Living Room	Island	1000	1	0	1	4	No Pet	Tile	22.278597	114.240731	Open	Closed	62.7	70.2	20.1	20.3	76.3	77.7	23.7	24.3	Low	High
HFC2SWCWINT	Shower Curtain	Heng Fa Chuen	Winter	NA	Surface	Bathroom	Island	1000	1	0	1	4	No Pet	Tile	22.278597	114.240731	Open	Closed	62.7	70.2	20.1	20.3	76.3	77.7	23.7	24.3	High	Low
HFC2TFBWINT	Toilet Flush Button	Heng Fa Chuen	Winter	NA	Surface	Bathroom	Island	1000	1	0	1	4	No Pet	Tile	22.278597	114.240731	Open	Closed	62.7	70.2	20.1	20.3	76.3	77.7	23.7	24.3	High	Low
HFC3zFOHWINT	Forehead	Heng Fa Chuen	Winter	Heng Fa Chuen z	Skin	NA	Island	1000	1	0	1	4	No Pet	Tile	22.278597	114.240731	Open	Closed	62.7	70.2	20.1	20.3	76.3	77.7	23.7	24.3	NA	NA
HFC3zLFWINT	Left Forearm	Heng Fa Chuen	Winter	Heng Fa Chuen z	Skin	NA	Island	1000	1	0	1	4	No Pet	Tile	22.278597	114.240731	Open	Closed	62.7	70.2	20.1	20.3	76.3	77.7	23.7	24.3	NA	NA
HFC3zLPWINT	Left Palm	Heng Fa Chuen	Winter	Heng Fa Chuen z	Skin	NA	Island	1000	1	0	1	4	No Pet	Tile	22.278597	114.240731	Open	Closed	62.7	70.2	20.1	20.3	76.3	77.7	23.7	24.3	NA	NA
HFC3zRFWINT	Right Forearm	Heng Fa Chuen	Winter	Heng Fa Chuen z	Skin	NA	Island	1000	1	0	1	4	No Pet	Tile	22.278597	114.240731	Open	Closed	62.7	70.2	20.1	20.3	76.3	77.7	23.7	24.3	NA	NA
HFC3ZRPWINT	Right Palm	Heng Fa Chuen	Winter	Heng Fa Chuen z	Skin	NA	Island	1000	1	0	1	4	No Pet	Tile	22.278597	114.240731	Open	Closed	62.7	70.2	20.1	20.3	76.3	77.7	23.7	24.3	NA	NA
HHa1BRWINT	Bedroom	Hung Hom A	Winter	NA	Air	Bedroom	Kowloon	450	1	0	1	0	No Pet	Wood	22.302883	114.187396	Open	Closed	73	72.4	19.6	20	89.8	60.4	24.7	27.1	NA	NA
HHa1KCWINT	Kitchen	Hung Hom A	Winter	NA	Air	Kitchen	Kowloon	450	1	0	1	0	No Pet	Wood	22.302883	114.187396	Open	Closed	73	72.4	19.6	20	89.8	60.4	24.7	27.1	NA	NA
HHa1LRWINT	Living Room	Hung Hom A	Winter	NA	Air	Living Room	Kowloon	450	1	0	1	0	No Pet	Wood	22.302883	114.187396	Open	Closed	73	72.4	19.6	20	89.8	60.4	24.7	27.1	NA	NA
HHa1TLWINT	Toilet	Hung Hom A	Winter	NA	Air	Bathroom	Kowloon	450	1	0	1	0	No Pet	Wood	22.302883	114.187396	Open	Closed	73	72.4	19.6	20	89.8	60.4	24.7	27.1	NA	NA
HHa2BHBWINT	Bed Headboard	Hung Hom A	Winter	NA	Surface	Bedroom	Kowloon	450	1	0	1	0	No Pet	Wood	22.302883	114.187396	Open	Closed	73	72.4	19.6	20	89.8	60.4	24.7	27.1	High	Low
HHa2BLKWINT	Blanket	Hung Hom A	Winter	NA	Surface	Bedroom	Kowloon	450	1	0	1	0	No Pet	Wood	22.302883	114.187396	Open	Closed	73	72.4	19.6	20	89.8	60.4	24.7	27.1	High	High
HHa2FDSWINT	Fridge Door Seal	Hung Hom A	Winter	NA	Surface	Kitchen	Kowloon	450	1	0	1	0	No Pet	Wood	22.302883	114.187396	Open	Closed	73	72.4	19.6	20	89.8	60.4	24.7	27.1	Low	Low
HHa2KVTWINT	Kitchen Ventilator	Hung Hom A	Winter	NA	Surface	Kitchen	Kowloon	450	1	0	1	0	No Pet	Wood	22.302883	114.187396	Open	Closed	73	72.4	19.6	20	89.8	60.4	24.7	27.1	Low	High
HHa2RMCWINT	Remote Control	Hung Hom A	Winter	NA	Surface	Living Room	Kowloon	450	1	0	1	0	No Pet	Wood	22.302883	114.187396	Open	Closed	73	72.4	19.6	20	89.8	60.4	24.7	27.1	High	Low
HHa2SCRWINT	TV Screen	Hung Hom A	Winter	NA	Surface	Living Room	Kowloon	450	1	0	1	0	No Pet	Wood	22.302883	114.187396	Open	Closed	73	72.4	19.6	20	89.8	60.4	24.7	27.1	Low	High
HHa2SWCWINT	Shower Curtain	Hung Hom A	Winter	NA	Surface	Bathroom	Kowloon	450	1	0	1	0	No Pet	Wood	22.302883	114.187396	Open	Closed	73	72.4	19.6	20	89.8	60.4	24.7	27.1	High	Low
HHa2TFBWINT	Toilet Flush Button	Hung Hom A	Winter	NA	Surface	Bathroom	Kowloon	450	1	0	1	0	No Pet	Wood	22.302883	114.187396	Open	Closed	73	72.4	19.6	20	89.8	60.4	24.7	27.1	High	Low
HHa3zFOHWINT	Forehead	Hung Hom A	Winter	Hung Hom A z	Skin	NA	Kowloon	450	1	0	1	0	No Pet	Wood	22.302883	114.187396	Open	Closed	73	72.4	19.6	20	89.8	60.4	24.7	27.1	NA	NA
HHa3zLFWINT	Left Forearm	Hung Hom A	Winter	Hung Hom A z	Skin	NA	Kowloon	450	1	0	1	0	No Pet	Wood	22.302883	114.187396	Open	Closed	73	72.4	19.6	20	89.8	60.4	24.7	27.1	NA	NA
HHa3zLPWINT	Left Palm	Hung Hom A	Winter	Hung Hom A z	Skin	NA	Kowloon	450	1	0	1	0	No Pet	Wood	22.302883	114.187396	Open	Closed	73	72.4	19.6	20	89.8	60.4	24.7	27.1	NA	NA
HHa3zRFWINT	Right Forearm	Hung Hom A	Winter	Hung Hom A z	Skin	NA	Kowloon	450	1	0	1	0	No Pet	Wood	22.302883	114.187396	Open	Closed	73	72.4	19.6	20	89.8	60.4	24.7	27.1	NA	NA
HHa3zRPWINT	Right Palm	Hung Hom A	Winter	Hung Hom A z	Skin	NA	Kowloon	450	1	0	1	0	No Pet	Wood	22.302883	114.187396	Open	Closed	73	72.4	19.6	20	89.8	60.4	24.7	27.1	NA	NA
HHb1BRWINT	Bedroom	Hung Hom B	Winter	NA	Air	Bedroom	Kowloon	650	2	0	2	5	Pet	Wood	22.307303	114.192191	Open	Closed	72.4	73	20.4	19.9	82.6	87.4	24.2	24.9	NA	NA
HHb1KCWINT	Kitchen	Hung Hom B	Winter	NA	Air	Kitchen	Kowloon	650	2	0	2	5	Pet	Wood	22.307303	114.192191	Open	Closed	72.4	73	20.4	19.9	82.6	87.4	24.2	24.9	NA	NA
HHb1LRWINT	Living Room	Hung Hom B	Winter	NA	Air	Living Room	Kowloon	650	2	0	2	5	Pet	Wood	22.307303	114.192191	Open	Closed	72.4	73	20.4	19.9	82.6	87.4	24.2	24.9	NA	NA
HHb1TLWINT	Toilet	Hung Hom B	Winter	NA	Air	Bathroom	Kowloon	650	2	0	2	5	Pet	Wood	22.307303	114.192191	Open	Closed	72.4	73	20.4	19.9	82.6	87.4	24.2	24.9	NA	NA
HHb2BHBWINT	Bed Headboard	Hung Hom B	Winter	NA	Surface	Bedroom	Kowloon	650	2	0	2	5	Pet	Wood	22.307303	114.192191	Open	Closed	72.4	73	20.4	19.9	82.6	87.4	24.2	24.9	High	Low
HHb2BLKWINT	Blanket	Hung Hom B	Winter	NA	Surface	Bedroom	Kowloon	650	2	0	2	5	Pet	Wood	22.307303	114.192191	Open	Closed	72.4	73	20.4	19.9	82.6	87.4	24.2	24.9	High	High
HHb2FDSWINT	Fridge Door Seal	Hung Hom B	Winter	NA	Surface	Kitchen	Kowloon	650	2	0	2	5	Pet	Wood	22.307303	114.192191	Open	Closed	72.4	73	20.4	19.9	82.6	87.4	24.2	24.9	Low	Low
HHb2KVTWINT	Kitchen Ventilator	Hung Hom B	Winter	NA	Surface	Kitchen	Kowloon	650	2	0	2	5	Pet	Wood	22.307303	114.192191	Open	Closed	72.4	73	20.4	19.9	82.6	87.4	24.2	24.9	Low	High
HHb2RMCWINT	Remote Control	Hung Hom B	Winter	NA	Surface	Living Room	Kowloon	650	2	0	2	5	Pet	Wood	22.307303	114.192191	Open	Closed	72.4	73	20.4	19.9	82.6	87.4	24.2	24.9	High	Low
HHb2SCRWINT	TV Screen	Hung Hom B	Winter	NA	Surface	Living Room	Kowloon	650	2	0	2	5	Pet	Wood	22.307303	114.192191	Open	Closed	72.4	73	20.4	19.9	82.6	87.4	24.2	24.9	Low	High
HHb2SWCWINT	Shower Curtain	Hung Hom B	Winter	NA	Surface	Bathroom	Kowloon	650	2	0	2	5	Pet	Wood	22.307303	114.192191	Open	Closed	72.4	73	20.4	19.9	82.6	87.4	24.2	24.9	High	Low
